anchor,label,target_krw,underlying_return,leveraged_return_before_costs,holding_days,decay_rate,premium_discount_rate,fee_drag,tracking_drag,product_return,projected_price
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.1,-0.03,0.001643835616438356,-0.0001232876712328767,1.0597222384144562,205.9722238414456
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.1,0.0,0.001643835616438356,-0.0001232876712328767,1.0897222384144563,208.9722238414456
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.06,-0.03,0.001643835616438356,-0.0001232876712328767,1.0997222384144563,209.9722238414456
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.1,0.03,0.001643835616438356,-0.0001232876712328767,1.1197222384144563,211.97222384144564
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.03,-0.03,0.001643835616438356,-0.0001232876712328767,1.1297222384144563,212.97222384144564
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.06,0.0,0.001643835616438356,-0.0001232876712328767,1.1297222384144563,212.97222384144564
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.0,-0.03,0.001643835616438356,-0.0001232876712328767,1.1597222384144563,215.97222384144567
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.03,0.0,0.001643835616438356,-0.0001232876712328767,1.1597222384144563,215.97222384144567
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.06,0.03,0.001643835616438356,-0.0001232876712328767,1.1597222384144563,215.97222384144567
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.0,0.0,0.001643835616438356,-0.0001232876712328767,1.1897222384144563,218.97222384144564
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.03,0.03,0.001643835616438356,-0.0001232876712328767,1.1897222384144563,218.97222384144564
bull_case_3m,Bull case,3000000.0,0.5957446808510638,1.1914893617021276,30,0.0,0.03,0.001643835616438356,-0.0001232876712328767,1.2197222384144564,221.9722238414456
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.1,-0.03,0.001643835616438356,-0.0001232876712328767,0.5278073447974351,152.78073447974353
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.1,0.0,0.001643835616438356,-0.0001232876712328767,0.5578073447974351,155.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.06,-0.03,0.001643835616438356,-0.0001232876712328767,0.567807344797435,156.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.1,0.03,0.001643835616438356,-0.0001232876712328767,0.5878073447974351,158.78073447974353
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.03,-0.03,0.001643835616438356,-0.0001232876712328767,0.597807344797435,159.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.06,0.0,0.001643835616438356,-0.0001232876712328767,0.597807344797435,159.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.0,-0.03,0.001643835616438356,-0.0001232876712328767,0.627807344797435,162.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.03,0.0,0.001643835616438356,-0.0001232876712328767,0.627807344797435,162.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.06,0.03,0.001643835616438356,-0.0001232876712328767,0.627807344797435,162.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.0,0.0,0.001643835616438356,-0.0001232876712328767,0.6578073447974351,165.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.03,0.03,0.001643835616438356,-0.0001232876712328767,0.6578073447974351,165.7807344797435
high_target,Street high target,2500000.0,0.32978723404255317,0.6595744680851063,30,0.0,0.03,0.001643835616438356,-0.0001232876712328767,0.6878073447974351,168.7807344797435
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.1,-0.03,0.001643835616438356,-0.0001232876712328767,-0.24680293179830945,75.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.1,0.0,0.001643835616438356,-0.0001232876712328767,-0.21680293179830945,78.31970682016906
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.06,-0.03,0.001643835616438356,-0.0001232876712328767,-0.20680293179830944,79.31970682016906
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.1,0.03,0.001643835616438356,-0.0001232876712328767,-0.18680293179830945,81.31970682016906
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.03,-0.03,0.001643835616438356,-0.0001232876712328767,-0.17680293179830944,82.31970682016906
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.06,0.0,0.001643835616438356,-0.0001232876712328767,-0.17680293179830944,82.31970682016906
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.0,-0.03,0.001643835616438356,-0.0001232876712328767,-0.14680293179830944,85.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.03,0.0,0.001643835616438356,-0.0001232876712328767,-0.14680293179830944,85.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.06,0.03,0.001643835616438356,-0.0001232876712328767,-0.14680293179830944,85.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.0,0.0,0.001643835616438356,-0.0001232876712328767,-0.11680293179830945,88.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.03,0.03,0.001643835616438356,-0.0001232876712328767,-0.11680293179830945,88.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.0,0.03,0.001643835616438356,-0.0001232876712328767,-0.08680293179830945,91.31970682016906
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.1,-0.03,0.001643835616438356,-0.0001232876712328767,-0.6955969105217138,30.44030894782862
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.1,0.0,0.001643835616438356,-0.0001232876712328767,-0.6655969105217138,33.440308947828626
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.06,-0.03,0.001643835616438356,-0.0001232876712328767,-0.6555969105217139,34.44030894782861
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.1,0.03,0.001643835616438356,-0.0001232876712328767,-0.6355969105217137,36.440308947828626
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.03,-0.03,0.001643835616438356,-0.0001232876712328767,-0.6255969105217138,37.44030894782861
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.06,0.0,0.001643835616438356,-0.0001232876712328767,-0.6255969105217138,37.44030894782861
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.0,-0.03,0.001643835616438356,-0.0001232876712328767,-0.5955969105217138,40.44030894782862
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.03,0.0,0.001643835616438356,-0.0001232876712328767,-0.5955969105217138,40.44030894782862
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.06,0.03,0.001643835616438356,-0.0001232876712328767,-0.5955969105217138,40.44030894782862
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.0,0.0,0.001643835616438356,-0.0001232876712328767,-0.5655969105217138,43.44030894782862
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.03,0.03,0.001643835616438356,-0.0001232876712328767,-0.5655969105217138,43.44030894782862
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.0,0.03,0.001643835616438356,-0.0001232876712328767,-0.5355969105217138,46.440308947828626
